name,location,price,capacity,rating,reviews,description
Casa Hacienda,"Marietta, GA","$2,000",201-250 Guests,New,New,"Casa Hacienda is a fantastic wedding and event venue in Marietta, GA, offering exceptional spaces for celebrations."
Eden Garden House,"Lithonia, GA","$3,000",151-200 Guests,New,New,"Eden Garden House is a beautiful wedding venue in Lithonia, GA, with a garden house facility perfect for special events."
The 173 Carlyle House,"Norcross, GA","$9,250",300+ Guests,4.9,113,"The 173 Carlyle House is a turn-of-the-century mansion in Norcross, GA, with elegant rooms and manicured grounds."
Roswell Mill Club,"Roswell, GA","$11,000",151-200 Guests,4.8,41,"Roswell Mill Club is a historic wedding venue in Roswell, GA, offering a unique and cherished piece of Southern history."
Whitestone Reserve,"Austell, GA","$16,000",101-150 Guests,5.0,21,Whitestone Reserve is a stunning new metro Atlanta wedding venue with chandeliers and natural lighting.
The Reserves at Hamilton Homes,"Mableton, GA","$3,000",101-150 Guests,5.0,1,"The Reserves at Hamilton Homes is a wedding venue in Mableton, GA, offering gorgeous sunset views and timeless interiors."
Chattahoochee Nature Center,"Roswell, GA","$1,300",151-200 Guests,4.9,40,"Chattahoochee Nature Center is a wedding venue in Roswell, GA, connecting people with nature for their special day."
Breckinridge Banquet Hall,"Duluth, GA","$4,050",101-150 Guests,4.8,27,"Breckinridge Banquet Hall is an upscale wedding venue in Duluth, GA, offering a memorable locale for celebrations."
Westin Atlanta Airport,"Atlanta, GA",Not provided,300+ Guests,4.0,4,Westin Atlanta Airport is a convenient wedding venue near Hartsfield-Jackson International Airport.
The Foxglove,"Marietta, GA",Not provided,300+ Guests,5.0,3,"The Foxglove is a characterful wedding venue in Marietta, GA, located in the historic district."
Brumby Hall & Gardens,"Marietta, GA","$1,750",151-200 Guests,4.0,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA, surrounded by meticulously kept gardens."
Conservatory at Waterstone,"Acworth, GA","$9,300",201-250 Guests,4.9,103,"Conservatory at Waterstone is a historic banquet hall wedding venue in Acworth, GA, offering all-inclusive solutions."
The Cotton Gin at Mill Creek,"Hiram, GA","$13,000",151-200 Guests,5.0,100,"The Cotton Gin at Mill Creek is a truly all-inclusive wedding venue in Hiram, GA, offering a proven planning experience."
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA","$4,000",251-300 Guests,4.8,493,Ashton Gardens Atlanta is a premier wedding venue with a signature glass chapel surrounded by lush gardens.
The Wildflower Barn at Little River Farms,"Alpharetta, GA","$11,800",101-150 Guests,5.0,85,"The Wildflower Barn at Little River Farms is a historic, family-owned barn renovated for weddings and events."
Venue 92,"Woodstock, GA","$4,400",151-200 Guests,5.0,88,"Venue 92 in Woodstock, GA, offers flexible event spaces for romantic gardens, glamorous evenings, or lively parties."
